z	DM_rd	DM_rd_err	DH_rd	DH_rd_err	r_MH
0.2529411764705882	7.010376156753613	0.0768660044623892	26.276554621805392	0.46761467690839	0.0
0.3588235294117647	9.73296086384002	0.0734140727209697	24.54319898777537	0.2865885759376357	0.0
0.4647058823529411	12.179140866044682	0.0718394993444244	23.15102381826185	0.2281539131379553	0.0
0.5705882352941176	14.706851053205868	0.0727104519176823	21.622255232699207	0.1710679282603764	0.0
0.6764705882352942	16.85161290061217	0.0737631254278843	20.45795943613629	0.1423394160193342	0.0
0.7823529411764706	18.812447725028225	0.0791741362903982	19.133897848305537	0.1222020982201488	0.0
0.888235294117647	20.75975780539749	0.0832428198553199	17.9405438354034	0.109415631608761	0.0
0.9941176470588236	22.43269203317984	0.0860787892967776	16.82071682689766	0.0961171750016618	0.0
1.1	24.39799742872044	0.1024146873401069	15.709450919544691	0.1063189111296767	0.0
1.2058823529411764	26.057077962666675	0.117069280474366	14.844924465468488	0.1031579896727138	0.0
1.311764705882353	27.439858712107377	0.1487859699558734	13.878757116916985	0.1128290313066162	0.0
1.4176470588235293	28.855302037463748	0.1827276367478969	13.57530487724286	0.1265675263664603	0.0
1.5235294117647058	30.59009556143209	0.2521242134291774	12.620398316252052	0.1461946630852089	0.0
1.6294117647058823	31.690091348774597	0.3547623356514384	12.374184301668228	0.1802758791356047	0.0
1.7352941176470589	33.409645084380934	0.5100495029716832	11.38427269306294	0.2401006887440914	0.0
1.8411764705882352	33.56371729138517	0.7496541997094924	10.842326397036542	0.3227579461200686	0.0
1.947058823529412	33.60202580726144	1.3898553364659838	11.005045490269996	0.5423983589155674	0.0
